marital_status,is_displaced,gender,age,is_international,mothers_qualif,fathers_qualif,is_spec_needs,is_debtor,is_tuition_uptodate,is_scholarship,unempl_rate,infl_rate,gdp,application_order,course,is_daytime,prev_qualif,prev_qualif_grade,admission_grade,courses_credited,courses_enrolled,courses_evaluated,courses_approved,courses_avg_grade,courses_unevaluated,Target
single,1,0,19,0,1,1,0,0,1,0,15.5,2.8,-4.06,1,Animation and Multimedia Design,1,4,145,150.3,0,0,0,0,0,0,Dropout
single,1,0,19,0,4,1,0,0,1,0,10.8,1.4,1.74,3,Nursing,1,4,135,120.5,0,8,11,7,13.258571428571427,0,Graduate
single,1,0,19,0,2,1,0,0,0,0,10.8,1.4,1.74,1,Tourism,1,4,123,120.6,0,6,9,3,11.666666666666666,0,Dropout
single,1,0,21,0,2,1,0,0,1,1,8.9,1.4,3.51,4,Tourism,1,4,126,118.7,0,6,7,6,13.571428571428571,0,Graduate
single,0,0,20,1,4,1,0,0,1,1,15.5,2.8,-4.06,2,Journalism and Communication,1,4,150,130.8,0,6,9,5,11.8,0,Graduate
single,1,0,20,0,3,3,0,0,1,1,11.1,0.6,2.02,1,Management,1,4,121,112.6,0,5,7,5,14.2,0,Graduate
single,0,0,41,0,1,1,0,0,1,0,7.6,2.6,0.32,1,Management (evening attendance),0,3,133.1,117.2,0,5,8,5,11,0,Graduate
single,1,0,18,0,2,4,0,0,1,0,10.8,1.4,1.74,3,Nursing,1,4,139,131.8,0,8,8,7,14.652857142857142,0,Graduate
divorced,0,0,35,0,1,1,0,0,1,1,15.5,2.8,-4.06,1,Social Service (evening attendance),0,4,160,97,0,6,9,6,11.333333333333334,0,Graduate
single,0,0,32,0,1,1,0,1,0,0,16.2,0.3,-0.92,1,Nursing,1,4,110,130,0,7,12,4,13.7,0,Dropout
single,0,0,37,0,3,1,0,0,1,0,12.4,0.5,1.79,1,Social Service (evening attendance),0,5,140,148,7,11,11,11,13.727272727272728,0,Graduate
married,0,0,30,0,5,1,0,0,1,0,12.7,3.7,-1.7,2,Management,1,5,130,103.4,4,7,9,7,11.75,0,Dropout
single,0,1,23,0,3,3,0,0,1,0,7.6,2.6,0.32,2,Journalism and Communication,1,4,132,127.1,0,6,9,6,12.333333333333334,0,Graduate
single,1,0,20,0,5,4,0,0,1,1,15.5,2.8,-4.06,2,Journalism and Communication,1,4,139,124,0,6,6,6,14,0,Dropout
single,0,1,21,0,3,1,0,0,1,0,9.4,-0.8,-3.12,1,Advertising and Marketing Management,1,4,135,121.4,0,5,7,4,11.5,0,Graduate
single,0,1,19,0,2,3,0,0,1,0,12.4,0.5,1.79,1,Management,1,4,117,118.1,0,5,6,5,11.2,0,Graduate
single,1,1,18,0,4,3,0,0,1,1,10.8,1.4,1.74,4,Nursing,1,4,137,121.3,0,8,8,7,15.07,0,Graduate
single,0,1,18,0,-1,-1,0,0,1,0,10.8,1.4,1.74,1,Informatics Engineering,1,4,144,119.5,0,5,6,1,10,0,Dropout
single,1,1,22,0,4,1,0,0,1,0,12.7,3.7,-1.7,1,Advertising and Marketing Management,1,4,140,130.2,0,6,11,4,13,0,Graduate
single,1,1,18,0,3,4,0,0,1,0,16.2,0.3,-0.92,4,Tourism,1,4,130,130,0,6,7,4,11,0,Dropout
single,1,0,18,0,1,1,0,0,1,0,9.4,-0.8,-3.12,2,Social Service,1,4,130,126.9,0,6,8,6,13.571428571428571,0,Graduate
single,1,1,21,1,5,4,0,0,1,0,16.2,0.3,-0.92,2,Communication Design,1,4,152,168.5,0,6,7,5,14.6,0,Graduate
divorced,0,0,38,0,1,1,0,1,1,0,16.2,0.3,-0.92,1,Nursing,1,4,133.1,130,0,7,13,3,11.833333333333334,0,Dropout
single,0,0,19,0,2,1,0,0,1,1,12.7,3.7,-1.7,1,Oral Hygiene,1,4,140,122.8,0,7,11,7,12.625,0,Graduate
legally_separated,0,0,36,0,1,1,0,0,1,0,16.2,0.3,-0.92,1,Nursing,1,4,133.1,110,0,7,12,4,11.5,0,Dropout
single,1,0,18,0,4,4,0,0,1,0,12.7,3.7,-1.7,1,Veterinary Nursing,1,4,140,127.1,0,5,8,4,13.25,1,Graduate
single,1,0,19,0,3,3,0,0,1,0,12.4,0.5,1.79,3,Nursing,1,4,133.1,108.5,0,7,9,7,12.60625,0,Graduate
single,0,0,21,0,3,2,0,1,0,0,8.9,1.4,3.51,1,Veterinary Nursing,1,4,140,138.2,7,10,15,8,13.75,0,Dropout
single,0,0,18,0,3,3,0,0,1,1,16.2,0.3,-0.92,1,Social Service,1,4,135,124.5,0,6,11,5,11.142857142857142,0,Graduate
single,1,0,20,0,1,1,0,0,1,0,7.6,2.6,0.32,1,Management,1,4,140,132.3,0,5,9,1,10,0,Dropout
single,1,0,18,0,3,4,0,1,1,0,13.9,-0.3,0.79,1,Tourism,1,4,128,120.7,0,6,8,6,11.666666666666666,0,Graduate
single,0,0,18,0,4,3,0,0,1,1,11.1,0.6,2.02,1,Advertising and Marketing Management,1,4,141,132.6,0,6,8,6,14,0,Graduate
single,0,0,25,0,-1,-1,0,0,1,0,10.8,1.4,1.74,2,Equinculture,1,5,140,140,0,5,9,0,0,4,Dropout
single,1,0,19,0,4,4,0,0,1,0,10.8,1.4,1.74,6,Nursing,1,4,139,124.5,0,8,9,7,12.04142857142857,0,Graduate
single,1,0,18,0,3,3,0,0,1,1,13.9,-0.3,0.79,1,Animation and Multimedia Design,1,4,142,142,0,0,0,0,0,0,Graduate
single,0,0,39,0,4,4,0,0,1,0,13.9,-0.3,0.79,1,Tourism,1,5,130,130,12,13,14,13,13.76923076923077,0,Graduate
married,0,0,29,0,2,1,0,0,1,0,15.5,2.8,-4.06,1,Agronomy,1,4,130,144,13,18,20,18,15.444444444444445,0,Graduate
single,0,0,23,0,1,5,0,0,0,0,10.8,1.4,1.74,1,Communication Design,1,5,140,140,0,3,3,2,10,0,Dropout
single,1,0,21,0,4,1,0,0,1,0,12.7,3.7,-1.7,1,Basic Education,1,4,120,113.9,0,6,8,4,12.25,0,Dropout
single,0,0,18,0,4,3,0,0,0,0,10.8,1.4,1.74,1,Social Service,1,4,147,137.2,0,6,6,6,14.5,0,Graduate
single,1,0,23,0,4,3,0,0,1,0,12.4,0.5,1.79,1,Veterinary Nursing,1,5,140,140,0,6,7,6,15.571428571428571,0,Graduate
single,0,0,18,0,4,3,0,0,1,0,11.1,0.6,2.02,1,Equinculture,1,4,161,152.3,0,6,7,6,15.571428571428571,0,Graduate
married,0,0,32,0,1,1,0,0,1,0,9.4,-0.8,-3.12,1,Social Service (evening attendance),0,3,133.1,112.5,0,6,8,5,13.8,0,Graduate
married,0,0,29,0,3,1,0,1,0,0,10.8,1.4,1.74,2,Management,1,4,150,101,0,5,8,3,10.666666666666666,0,Dropout
single,1,0,20,0,4,2,0,1,1,1,8.9,1.4,3.51,6,Social Service,1,4,113,112.3,0,6,8,5,11.6,0,Graduate
single,1,0,28,0,-1,-1,0,0,0,0,9.4,-0.8,-3.12,1,Social Service,1,4,140,114,0,6,11,1,13,0,Dropout
single,0,0,27,0,2,2,0,0,1,0,10.8,1.4,1.74,1,Management,1,5,130,130,0,5,9,3,12,0,Graduate
single,0,0,22,0,1,-1,0,1,1,0,7.6,2.6,0.32,2,Nursing,1,4,120,121.5,11,14,14,12,12.333333333333334,2,Graduate
single,0,0,28,0,1,2,0,0,0,0,12.7,3.7,-1.7,1,Social Service (evening attendance),0,5,130,130,0,6,12,1,11,0,Dropout
married,0,0,43,0,1,1,0,1,0,0,8.9,1.4,3.51,1,Agronomy,1,4,120,125.7,0,6,10,4,12.25,0,Dropout
single,1,0,32,0,1,1,0,0,0,0,10.8,1.4,1.74,1,Oral Hygiene,1,4,140,128,0,7,7,0,0,7,Dropout
divorced,0,0,35,0,2,4,0,0,1,1,9.4,-0.8,-3.12,1,Nursing,1,3,133.1,120,0,8,9,8,13.63,1,Graduate
single,1,0,21,0,1,1,0,0,1,0,7.6,2.6,0.32,1,Advertising and Marketing Management,1,4,130,117.8,0,5,8,3,13,0,Graduate
single,0,0,18,0,5,2,0,0,1,1,16.2,0.3,-0.92,1,Nursing,1,4,176,169.7,0,7,7,7,16.9,0,Graduate
single,1,0,18,0,3,3,0,0,1,0,16.2,0.3,-0.92,4,Social Service,1,4,124,117.7,0,6,10,5,12,0,Graduate
single,1,0,22,0,3,1,0,0,1,0,12.4,0.5,1.79,1,Social Service (evening attendance),0,4,120,121.8,3,6,6,6,12.5,0,Graduate
single,1,0,19,0,4,4,0,0,1,0,10.8,1.4,1.74,2,Nursing,1,4,140,128.3,0,8,8,7,12.764285714285714,0,Graduate
single,1,0,18,0,3,2,0,0,1,1,13.9,-0.3,0.79,2,Management,1,4,143,132.2,0,5,8,5,13.75,0,Graduate
single,1,0,19,0,4,4,0,1,1,0,12.4,0.5,1.79,2,Animation and Multimedia Design,1,4,136,134.3,0,0,0,0,0,0,Dropout
single,0,0,18,0,3,4,0,0,1,1,11.1,0.6,2.02,1,Nursing,1,4,132,123.4,0,7,7,7,14.604285714285712,0,Graduate
married,0,0,31,0,3,4,0,1,0,0,16.2,0.3,-0.92,1,Management (evening attendance),0,3,133.1,121.7,0,5,7,0,0,0,Dropout
married,0,0,33,0,4,3,0,1,1,1,9.4,-0.8,-3.12,1,Social Service (evening attendance),0,3,100,130,0,6,9,5,13.833333333333334,0,Graduate
single,1,0,19,0,3,2,0,0,1,1,9.4,-0.8,-3.12,3,Nursing,1,4,137,126.5,0,8,8,8,13.57625,0,Graduate
single,1,0,18,0,2,2,0,0,1,1,12.7,3.7,-1.7,1,Social Service,1,4,153,159.7,0,6,7,6,15.142857142857142,0,Graduate
single,0,0,23,0,4,3,0,0,1,0,7.6,2.6,0.32,1,Management,1,4,160,151.3,0,5,8,3,10.666666666666666,0,Graduate
single,1,0,20,0,2,2,0,0,1,0,9.4,-0.8,-3.12,1,Social Service,1,4,145,138,0,6,11,5,11.2,0,Graduate
single,1,0,18,0,2,2,0,0,1,0,9.4,-0.8,-3.12,5,Nursing,1,4,137,126.5,0,8,8,8,13.76375,0,Graduate
single,0,0,22,0,3,2,0,0,1,1,12.7,3.7,-1.7,1,Social Service,1,4,120,112.3,0,6,10,5,10.714285714285714,0,Graduate
single,1,0,20,0,4,3,0,1,1,0,9.4,-0.8,-3.12,1,Social Service,1,4,122,127.3,0,6,6,6,12.166666666666666,0,Graduate
single,1,0,23,0,3,2,0,0,1,0,7.6,2.6,0.32,1,Nursing,1,5,130,130,1,7,8,6,14.357142857142858,0,Graduate
single,1,0,19,0,5,4,0,0,1,0,16.2,0.3,-0.92,2,Journalism and Communication,1,4,133.1,115,0,6,6,6,12.833333333333334,0,Graduate
single,1,0,19,0,4,1,0,0,1,0,10.8,1.4,1.74,6,Nursing,1,4,150,131.5,0,8,8,7,13.925714285714283,0,Graduate
single,0,0,26,0,3,2,0,0,1,0,10.8,1.4,1.74,1,Management (evening attendance),0,4,133.1,125.7,0,5,9,2,12,0,Dropout
single,1,0,18,0,4,1,0,0,1,0,16.2,0.3,-0.92,6,Nursing,1,4,141,126.8,0,7,7,7,13.44285714285714,0,Graduate
single,1,1,18,0,4,1,0,0,1,0,9.4,-0.8,-3.12,1,Informatics Engineering,1,4,146,132.4,0,5,5,1,16,0,Dropout
single,1,1,20,0,2,1,0,0,1,0,16.2,0.3,-0.92,1,Agronomy,1,4,150,150,0,6,8,6,13.125,0,Graduate
single,0,1,19,0,5,4,0,0,1,0,15.5,2.8,-4.06,1,Advertising and Marketing Management,1,4,133.1,95,0,6,7,0,0,0,Dropout
single,0,1,32,0,1,1,0,0,0,0,10.8,1.4,1.74,1,Management (evening attendance),0,4,120,128.2,5,9,9,5,11.4,0,Dropout
married,0,1,31,0,3,3,0,0,0,0,9.4,-0.8,-3.12,1,Equinculture,1,4,150,130,0,4,12,2,11,2,Dropout
single,1,0,21,0,3,5,0,0,1,0,16.2,0.3,-0.92,1,Veterinary Nursing,1,4,140,159.9,2,6,14,5,13.666666666666666,0,Graduate
married,0,0,31,0,1,1,0,0,0,0,12.7,3.7,-1.7,1,Management (evening attendance),0,4,140,100,2,6,10,4,11.75,0,Dropout
married,0,0,34,0,1,1,0,0,1,0,16.2,0.3,-0.92,1,Basic Education,1,4,133.1,116.5,0,7,11,1,10,0,Dropout
single,0,0,18,0,3,3,0,0,1,1,11.1,0.6,2.02,1,Social Service,1,4,128,120,0,6,8,6,13.5,0,Graduate
single,1,0,19,0,3,3,0,1,1,0,12.4,0.5,1.79,3,Social Service,1,4,117,117,0,6,0,0,0,0,Dropout
single,1,0,18,0,2,1,0,0,0,0,9.4,-0.8,-3.12,2,Basic Education,1,4,124,118.1,0,6,11,3,13,0,Dropout
single,1,0,20,0,3,4,0,0,1,0,11.1,0.6,2.02,1,Tourism,1,4,158,153.5,0,6,7,6,14.833333333333334,0,Graduate
single,1,0,20,0,2,1,0,0,1,0,15.5,2.8,-4.06,1,Journalism and Communication,1,4,137,127.9,0,6,6,6,11.833333333333334,0,Graduate
single,1,0,18,0,2,2,1,0,1,1,11.1,0.6,2.02,3,Advertising and Marketing Management,1,4,123,118.8,0,6,10,5,12,0,Graduate
single,1,0,19,0,2,2,0,0,1,0,7.6,2.6,0.32,1,Social Service,1,4,126,126.7,0,6,11,4,12.75,0,Graduate
divorced,1,0,30,0,5,4,0,0,1,1,11.1,0.6,2.02,1,Equinculture,1,4,133.1,110,0,6,7,0,0,0,Dropout
single,1,0,19,0,3,2,0,0,1,0,11.1,0.6,2.02,1,Social Service,1,4,115,115,0,6,6,6,12,0,Graduate
single,1,0,19,0,2,1,0,0,1,0,12.7,3.7,-1.7,3,Oral Hygiene,1,4,132,119,0,7,9,7,11.677777777777775,0,Graduate
single,1,0,19,0,4,1,0,0,1,1,12.7,3.7,-1.7,4,Nursing,1,4,132,121.8,0,8,8,7,13.6,0,Graduate
single,1,0,19,0,3,2,0,0,1,0,12.4,0.5,1.79,1,Veterinary Nursing,1,4,143,133.4,0,6,7,6,16,0,Graduate
single,1,0,20,0,4,4,0,0,1,0,7.6,2.6,0.32,3,Social Service,1,4,137,131.4,0,6,9,5,11.8,0,Graduate
single,0,1,25,0,3,1,0,1,1,0,13.9,-0.3,0.79,1,Informatics Engineering,1,4,130,135,0,5,5,0,0,0,Dropout
single,0,1,19,0,3,3,0,0,1,0,12.4,0.5,1.79,2,Journalism and Communication,1,4,121,122.8,0,6,0,0,0,0,Dropout
married,0,0,34,0,1,3,0,1,1,1,9.4,-0.8,-3.12,1,Basic Education,1,4,130,140,0,6,7,6,16.142857142857142,0,Graduate
single,1,0,18,0,2,1,0,0,1,1,12.7,3.7,-1.7,2,Nursing,1,4,135,125.3,0,8,8,7,11.785714285714286,0,Graduate
single,1,0,18,0,4,4,0,0,1,1,9.4,-0.8,-3.12,6,Nursing,1,4,137,126.3,0,8,8,8,13.42375,0,Graduate
single,0,0,20,0,2,2,0,0,1,0,11.1,0.6,2.02,1,Advertising and Marketing Management,1,4,100,100,0,6,8,6,12.5,0,Graduate
single,1,0,20,0,3,1,0,0,1,1,10.8,1.4,1.74,2,Nursing,1,4,127,121.3,0,8,8,7,12.464285714285714,0,Graduate
single,0,0,28,0,1,1,0,0,1,0,10.8,1.4,1.74,1,Advertising and Marketing Management,1,4,140,120,0,6,8,1,10,0,Dropout
single,1,0,19,0,3,2,0,0,1,0,16.2,0.3,-0.92,1,Management,1,4,131,129.7,0,5,5,5,12.6,0,Graduate
married,1,0,34,0,2,1,0,0,1,0,7.6,2.6,0.32,1,Management,1,4,151,132.1,0,5,7,2,10,0,Dropout
married,0,0,35,0,1,1,0,0,1,0,8.9,1.4,3.51,1,Basic Education,1,4,130,120.3,0,7,7,0,0,0,Dropout
single,0,0,32,0,1,1,0,0,1,0,12.4,0.5,1.79,1,Management (evening attendance),0,5,120,120,0,5,7,5,11.6,0,Graduate
single,1,0,19,0,3,3,0,0,1,0,11.1,0.6,2.02,2,Tourism,1,4,136,123.1,0,6,8,6,12.166666666666666,0,Graduate
single,1,0,18,0,4,3,0,0,1,0,11.1,0.6,2.02,5,Advertising and Marketing Management,1,4,125,119.4,0,6,10,4,13.6,0,Graduate
married,0,0,35,0,1,1,0,0,0,0,9.4,-0.8,-3.12,1,Management,1,4,133.1,140,0,5,8,4,12.5,1,Dropout
single,1,0,20,0,3,1,0,0,1,1,13.9,-0.3,0.79,1,Social Service,1,4,120,113,0,6,7,6,11.714285714285714,0,Graduate
single,1,1,18,1,3,3,0,0,1,1,16.2,0.3,-0.92,3,Journalism and Communication,1,4,143,133.9,0,6,7,6,13.5,0,Graduate
single,1,1,20,0,2,3,0,0,1,1,10.8,1.4,1.74,3,Nursing,1,4,133.1,115.5,0,8,8,7,13.024285714285714,0,Graduate
single,1,1,18,0,4,3,0,0,0,0,9.4,-0.8,-3.12,5,Tourism,1,4,121,116.5,0,6,12,0,0,0,Dropout
single,0,1,18,0,3,3,0,0,1,1,12.4,0.5,1.79,1,Informatics Engineering,1,4,168,171.2,0,5,6,5,17.333333333333332,0,Graduate
single,0,1,20,0,3,1,0,0,1,1,9.4,-0.8,-3.12,1,Advertising and Marketing Management,1,4,124,119.1,0,5,7,4,11,0,Graduate
single,1,1,19,0,3,2,0,0,1,0,12.4,0.5,1.79,2,Basic Education,1,4,127,121.1,0,7,10,6,13.666666666666666,0,Dropout
single,0,1,19,0,3,4,0,0,1,0,10.8,1.4,1.74,1,Social Service,1,4,137,132.8,0,6,6,6,12.833333333333334,0,Graduate
single,1,1,20,0,0,1,0,0,1,0,7.6,2.6,0.32,1,Journalism and Communication,1,4,120,126.7,0,6,9,5,12.6,0,Graduate
single,1,1,22,0,3,3,0,0,1,0,11.1,0.6,2.02,1,Nursing,1,4,110,105.8,0,7,8,6,14.333333333333334,0,Graduate
single,0,1,19,0,2,2,0,0,1,0,12.7,3.7,-1.7,1,Nursing,1,4,143,140,0,8,8,7,14.285714285714286,0,Graduate
single,0,1,22,0,4,3,0,0,1,0,13.9,-0.3,0.79,1,Agronomy,1,4,120,120,2,6,15,3,11.75,0,Dropout
single,1,1,20,1,6,3,0,0,1,0,8.9,1.4,3.51,5,Informatics Engineering,1,4,124,119.5,0,5,5,5,14.8,0,Graduate
married,0,1,34,0,4,4,0,1,0,0,12.4,0.5,1.79,1,Agronomy,1,4,168,153.9,0,6,7,0,0,0,Dropout
married,0,1,24,0,4,4,0,0,1,0,16.2,0.3,-0.92,1,Social Service (evening attendance),0,3,133.1,130,0,6,14,1,10,0,Dropout
single,1,1,26,0,-1,-1,0,0,1,0,7.6,2.6,0.32,2,Advertising and Marketing Management,1,4,150,107,0,5,5,0,0,0,Dropout
single,0,1,35,0,1,1,0,0,1,0,12.4,0.5,1.79,1,Nursing,1,4,140,132.8,0,7,10,4,12.6,0,Dropout
single,1,1,22,0,5,1,0,0,1,0,7.6,2.6,0.32,1,Management (evening attendance),0,4,145,127.5,0,5,9,5,12.428571428571429,1,Graduate
single,0,1,19,0,4,3,0,0,1,0,8.9,1.4,3.51,1,Management,1,4,123,122,0,5,7,3,12.333333333333334,0,Dropout
single,1,1,19,0,5,3,0,0,0,0,8.9,1.4,3.51,5,Tourism,1,4,120,114.8,0,6,0,0,0,0,Dropout
single,0,1,20,0,5,5,0,1,1,0,15.5,2.8,-4.06,1,Animation and Multimedia Design,1,4,140,140,0,0,0,0,0,0,Graduate
single,0,1,21,0,5,5,0,1,1,0,11.1,0.6,2.02,1,Advertising and Marketing Management,1,4,126,111,5,11,12,10,12.1,0,Graduate
single,1,0,19,0,4,3,0,0,1,1,13.9,-0.3,0.79,2,Journalism and Communication,1,4,137,133.2,0,6,7,6,14.714285714285714,0,Graduate
single,1,0,18,0,3,3,0,0,1,0,12.7,3.7,-1.7,3,Journalism and Communication,1,4,130,123,0,6,6,6,12.666666666666666,0,Graduate
single,0,0,23,0,4,2,0,0,1,1,8.9,1.4,3.51,1,Agronomy,1,4,150,150,7,12,14,12,14.384615384615383,0,Graduate
single,1,0,18,0,3,2,0,0,1,1,12.7,3.7,-1.7,3,Management,1,4,147,132.3,0,5,5,5,13.4,0,Graduate
single,1,0,18,0,1,2,0,0,1,0,12.7,3.7,-1.7,1,Nursing,1,4,140,126,0,8,8,7,13.314285714285717,0,Graduate
single,1,0,19,0,2,2,0,0,1,0,10.8,1.4,1.74,3,Nursing,1,4,132,119.3,0,8,8,7,11.98857142857143,0,Graduate
single,1,0,21,0,4,3,0,0,1,0,8.9,1.4,3.51,1,Management,1,4,130,133.8,6,11,17,11,11.545454545454543,0,Graduate
single,1,0,18,0,1,1,0,0,1,1,15.5,2.8,-4.06,1,Veterinary Nursing,1,4,130,126.5,0,6,13,6,16.46153846153846,0,Graduate
single,1,0,24,0,2,1,0,0,1,1,10.8,1.4,1.74,1,Journalism and Communication,1,4,151,138.4,0,6,7,6,13.666666666666666,0,Graduate
single,1,0,18,0,5,4,0,0,1,0,16.2,0.3,-0.92,4,Nursing,1,4,144,129,0,7,8,7,12.65,0,Dropout
single,1,0,20,0,3,1,0,0,1,0,12.4,0.5,1.79,2,Nursing,1,4,131,129.8,0,7,8,6,14.37,0,Graduate
single,1,0,18,0,-1,2,0,0,0,1,7.6,2.6,0.32,5,Journalism and Communication,1,4,130,128.3,0,6,12,3,12,0,Dropout
single,0,0,19,0,4,3,0,0,1,1,10.8,1.4,1.74,1,Tourism,1,4,130,130,0,6,11,4,12,0,Dropout
single,1,0,19,0,4,2,0,0,1,0,10.8,1.4,1.74,2,Basic Education,1,4,131,121.9,0,6,10,5,12.6,0,Graduate
single,0,0,18,0,4,2,0,1,1,0,10.8,1.4,1.74,5,Social Service,1,5,135,129.4,0,6,6,6,12.166666666666666,0,Graduate
single,1,0,18,0,2,2,0,0,1,1,9.4,-0.8,-3.12,5,Nursing,1,4,145,125.5,0,8,8,8,13.76375,0,Graduate
single,1,0,19,0,2,2,0,0,1,1,11.1,0.6,2.02,6,Oral Hygiene,1,4,118,117.8,0,7,11,6,12.4,0,Graduate
single,1,0,18,0,1,1,0,0,1,0,7.6,2.6,0.32,2,Nursing,1,4,152,139,0,7,7,6,14.333333333333334,0,Graduate
single,1,0,19,0,-1,2,0,1,0,0,7.6,2.6,0.32,1,Tourism,1,4,137,137.7,0,6,14,1,10,0,Dropout
single,1,0,21,0,4,4,0,0,1,0,12.4,0.5,1.79,4,Nursing,1,4,123,113.6,0,7,8,7,14.69625,0,Graduate
single,0,0,18,0,3,2,0,0,1,1,12.7,3.7,-1.7,3,Oral Hygiene,1,4,131,128.5,0,7,9,7,12.855555555555556,0,Graduate
single,0,0,18,0,4,4,0,0,1,0,11.1,0.6,2.02,1,Nursing,1,4,141,142.8,0,7,7,7,13.7,0,Graduate
single,0,0,23,0,5,4,0,0,0,0,10.8,1.4,1.74,1,Equinculture,1,4,144,137.7,0,5,9,0,0,3,Dropout
single,0,0,18,0,2,2,0,0,1,0,16.2,0.3,-0.92,1,Nursing,1,4,133,123.2,0,7,7,7,13.285714285714286,0,Graduate
single,1,0,21,0,4,3,0,0,1,0,15.5,2.8,-4.06,1,Equinculture,1,4,120,120,0,6,14,5,11.5,1,Dropout
single,1,0,19,0,1,2,0,0,1,1,10.8,1.4,1.74,1,Nursing,1,4,130,119.3,0,8,8,7,11.4,0,Graduate
single,0,0,21,0,1,1,0,0,1,1,13.9,-0.3,0.79,1,Social Service,1,4,120,121,3,6,6,6,12.333333333333334,0,Graduate
single,1,0,18,0,3,3,0,0,1,0,10.8,1.4,1.74,5,Journalism and Communication,1,4,138,139.4,0,6,7,5,12.8,0,Graduate
single,1,0,20,0,3,2,0,0,1,1,12.7,3.7,-1.7,1,Veterinary Nursing,1,4,124,113.9,0,5,8,5,12,1,Graduate
single,1,0,18,0,1,1,0,0,1,1,9.4,-0.8,-3.12,1,Basic Education,1,4,133,124.6,0,6,8,5,13,0,Graduate
single,1,0,18,0,4,4,0,1,0,1,12.7,3.7,-1.7,1,Communication Design,1,4,122,123.8,0,6,6,6,11.833333333333334,0,Dropout
single,1,0,18,0,4,5,0,0,1,0,8.9,1.4,3.51,3,Veterinary Nursing,1,4,138,126.3,0,6,8,6,14,0,Graduate
single,1,0,18,0,4,4,0,0,1,1,16.2,0.3,-0.92,4,Journalism and Communication,1,4,134,120.4,0,6,6,6,12.333333333333334,0,Graduate
single,1,0,24,0,3,3,0,0,1,1,8.9,1.4,3.51,1,Veterinary Nursing,1,3,133.1,139.9,1,6,7,6,12.5,0,Graduate
single,1,0,19,0,4,4,0,0,1,0,10.8,1.4,1.74,1,Animation and Multimedia Design,1,4,142,133.3,0,0,0,0,0,0,Graduate
single,1,0,18,0,3,3,0,0,1,0,12.7,3.7,-1.7,3,Nursing,1,4,141,126,0,8,8,7,15.657142857142857,0,Graduate
single,0,0,19,0,4,3,0,0,1,0,12.7,3.7,-1.7,2,Communication Design,1,4,145,133.5,0,6,6,6,12.166666666666666,0,Graduate
single,1,0,19,0,2,3,0,0,1,0,10.8,1.4,1.74,2,Basic Education,1,4,145,127.9,0,6,0,0,0,0,Dropout
single,0,0,26,0,-1,1,0,0,1,0,7.6,2.6,0.32,1,Journalism and Communication,1,4,140,102.5,0,6,8,4,11.75,0,Dropout
single,0,1,36,0,3,4,0,1,0,0,15.5,2.8,-4.06,1,Tourism,1,3,133.1,97,0,5,10,0,0,0,Dropout
single,0,1,19,0,4,4,0,0,0,0,10.8,1.4,1.74,1,Animation and Multimedia Design,1,4,128,134.7,0,0,0,0,0,0,Dropout
single,0,1,27,0,3,1,0,0,0,0,15.5,2.8,-4.06,1,Informatics Engineering,1,4,120,113.8,0,5,0,0,0,0,Dropout
single,0,1,18,0,5,4,0,0,1,0,8.9,1.4,3.51,4,Informatics Engineering,1,4,120,116.9,0,5,9,1,13,0,Dropout
single,1,1,18,0,1,2,0,0,1,1,10.8,1.4,1.74,4,Nursing,1,4,139,124,0,8,8,7,13.331428571428573,0,Graduate
single,0,1,28,0,2,2,0,0,1,0,12.4,0.5,1.79,1,Communication Design,1,4,139.3,117.5,0,6,0,0,0,0,Dropout
single,1,1,21,0,3,4,0,0,1,0,12.4,0.5,1.79,1,Animation and Multimedia Design,1,4,150,154.8,0,0,0,0,0,0,Graduate
single,0,1,19,0,3,1,0,0,1,0,7.6,2.6,0.32,1,Nursing,1,4,138,141,0,7,7,6,13.7,0,Graduate
single,0,1,26,0,-1,4,0,1,0,0,9.4,-0.8,-3.12,1,Advertising and Marketing Management,1,4,133.1,120,0,5,5,0,0,0,Dropout
single,1,1,20,0,4,3,0,0,1,0,11.1,0.6,2.02,1,Informatics Engineering,1,4,136,133.6,4,9,12,9,13.454545454545457,0,Dropout
single,1,1,19,0,2,2,0,0,1,0,12.7,3.7,-1.7,6,Nursing,1,4,134,122,0,8,8,7,12.2,0,Graduate
single,1,1,21,0,3,3,0,0,1,0,12.7,3.7,-1.7,1,Management,1,4,140,120,0,5,8,3,10,0,Dropout
single,0,1,23,0,4,3,0,0,1,1,8.9,1.4,3.51,1,Advertising and Marketing Management,1,4,110,114.2,0,6,7,5,13,0,Graduate
single,0,1,29,0,2,1,0,0,1,0,11.1,0.6,2.02,1,Social Service (evening attendance),0,2,133.1,95.5,0,6,11,6,12,0,Graduate
single,0,1,20,0,4,4,0,0,1,0,12.7,3.7,-1.7,1,Nursing,1,4,129,120,0,8,8,7,15.028571428571428,0,Graduate
single,0,1,18,0,4,3,0,0,1,0,15.5,2.8,-4.06,1,Social Service,1,4,116,111.1,0,6,8,6,12,0,Graduate
single,1,1,19,0,4,2,0,0,1,0,9.4,-0.8,-3.12,1,Journalism and Communication,1,4,130,128.6,0,6,8,5,12,0,Graduate
single,0,1,23,0,4,1,0,0,0,0,10.8,1.4,1.74,1,Oral Hygiene,1,5,130,130,3,7,7,3,13.666666666666666,0,Dropout
